115	116	0	0	0	0
114	115	-3	5	-3	5
113	114	1	-4	-2	1
112	113	1	1	-1	2
111	112	0	-1	-1	1
110	111	1	-2	0	-1
109	110	-2	8	-2	7
108	109	1	-5	-1	2
107	108	1	4	0	6
106	107	0	0	0	6
105	106	1	-1	1	5
104	105	-1	0	0	5
103	104	1	7	1	12
102	103	0	-5	1	7
101	102	-1	0	0	7
100	101	0	0	0	7
99	100	0	-3	0	4
98	99	-1	2	-1	6
97	98	1	0	0	6
96	97	0	0	0	6
95	96	0	-3	0	3
94	95	-1	5	-1	8
93	94	1	0	0	8
92	93	0	-4	0	4
91	92	0	0	0	4
90	91	-2	0	-2	4
89	90	1	-2	-1	2
88	89	-1	3	-2	5
87	88	1	3	-1	8
86	87	0	-1	-1	7
85	86	-2	-2	-3	5
84	85	1	0	-2	5
83	84	0	1	-2	6
82	83	0	-1	-2	5
81	82	0	-1	-2	4
80	81	-1	1	-3	5
79	80	1	-1	-2	4
78	79	-1	-2	-3	2
77	78	0	2	-3	4
76	77	0	1	-3	5
75	76	-1	1	-4	6
74	75	0	-1	-4	5
73	74	1	0	-3	5
72	73	0	-1	-3	4
71	72	-1	-2	-4	2
70	71	1	3	-3	5
69	70	0	-1	-3	4
68	69	0	5	-3	9
67	68	-1	-5	-4	4
66	67	1	-3	-3	1
65	66	-1	8	-4	9
64	65	1	-7	-3	2
63	64	0	0	-3	2
62	63	0	0	-3	2
61	62	0	4	-3	6
60	61	0	-2	-3	4
59	60	0	-2	-3	2
58	59	1	1	-2	3
57	58	-2	0	-4	3
56	57	1	1	-3	4
55	56	-1	-1	-4	3
54	55	1	2	-3	5
53	54	1	0	-2	5
52	53	-1	-3	-3	2
51	52	1	5	-2	7
50	51	0	-6	-2	1
49	50	-1	-10	-3	-9
48	49	0	14	-3	5
47	48	0	-4	-3	1
46	47	1	-5	-2	-4
45	46	-1	9	-3	5
44	45	0	-5	-3	0
43	44	1	0	-2	0
42	43	-1	0	-3	0
41	42	1	-1	-2	-1
40	41	0	3	-2	2
39	40	0	2	-2	4
38	39	1	-5	-1	-1
37	38	-1	0	-2	-1
36	37	0	4	-2	3
35	36	0	-3	-2	0
34	35	0	4	-2	4
33	34	1	-4	-1	0
32	33	0	3	-1	3
31	32	-1	-8	-2	-5
30	31	1	5	-1	0
29	30	-1	-2	-2	-2
28	29	0	3	-2	1
27	28	0	-5	-2	-4
26	27	0	3	-2	-1
25	26	1	-3	-1	-4
24	25	-1	5	-2	1
23	24	1	-3	-1	-2
22	23	0	1	-1	-1
21	22	1	1	0	0
20	21	0	4	0	4
19	20	2	0	2	4
18	19	-1	0	1	4
17	18	0	1	1	5
16	17	0	1	1	6
15	16	0	-3	1	3
14	15	0	1	1	4
13	14	0	3	1	7
12	13	0	-3	1	4
11	12	-1	-3	0	1
10	11	0	-4	0	-3
9	10	0	6	0	3
8	9	-1	0	-1	3
7	8	1	0	0	3
6	7	0	-5	0	-2
5	6	0	3	0	1
4	5	0	3	0	4
3	4	-1	0	-1	4
2	3	1	-2	0	2
1	2	0	1	0	3
0	1	0	1	0	4
