1_1_array_0_0;1_1_array_0_1;1_1_array_1_0;1_1_array_1_1;1_1_array_2_0;1_1_array_2_1
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
